sample	condition	sample	unit	fq1	fq2
sample_253	T_NA	sample_253	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/253_L1_L001/C1_253_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/253_L1_L001/C1_253_L1_L001R2.fastq.gz
sample_253	T_NA	sample_253	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/253_L2_L002/C1_253_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/253_L2_L002/C1_253_L2_L002R2.fastq.gz
sample_254	T_NA	sample_254	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B1-254_P7148-P5136_L3_L003_ds.9d39bc217fb44f90a377bcc94aea6074/254_S277_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_B1-254_P7148-P5136_L3_L003_ds.9d39bc217fb44f90a377bcc94aea6074/254_S277_L003_R2_001.fastq.gz
sample_254	T_NA	sample_254	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/254_L1_L001/B1_254_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/254_L1_L001/B1_254_L1_L001R2.fastq.gz
sample_254	T_NA	sample_254	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/254_L2_L002/B1_254_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/254_L2_L002/B1_254_L2_L002R2.fastq.gz
sample_255	T_NA	sample_255	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A1-255_P7126-P5134_L3_L003_ds.533d5ec0d9b543ab951591f7baaac9f8/255_S278_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_A1-255_P7126-P5134_L3_L003_ds.533d5ec0d9b543ab951591f7baaac9f8/255_S278_L003_R2_001.fastq.gz
sample_255	T_NA	sample_255	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/255_L1_L001/A1_255_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/255_L1_L001/A1_255_L1_L001R2.fastq.gz
sample_255	T_NA	sample_255	L2	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/255_L2_L002/A1_255_L2_L002R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/255_L2_L002/A1_255_L2_L002R2.fastq.gz
sample_256	T_NA	sample_256	L3	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G6-256_P7103-P5189_L3_L003_ds.ed17d048e7554666822bbf2a1181a5e9/256_S279_L003_R1_001.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/NS2189_G6-256_P7103-P5189_L3_L003_ds.ed17d048e7554666822bbf2a1181a5e9/256_S279_L003_R2_001.fastq.gz
sample_256	T_NA	sample_256	L1	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/256_L1_L001/G6_256_L1_L001R1.fastq.gz	/orange/peter/MeJA_timecourse/NS2189-GPeter_S4-HLFJNDSXY_Lane1-3/256_L1_L001/G6_256_L1_L001R2.fastq.gz
